0,1,2
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,22
21,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,20
21,20,20
20,20,21
20,21,20
21,20,20
20,20,20
20,20,20
20,20,20
20,20,21
20,21,21
21,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,21
21,21,22
21,22,22
22,22,22
22,22,23
22,23,22
23,22,21
22,21,20
21,20,19
20,19,20
19,20,21
20,21,20
21,20,21
20,21,21
21,21,21
21,21,19
21,19,19
19,19,20
19,20,20
20,20,21
20,21,21
21,21,20
21,20,20
20,20,21
20,21,22
21,22,21
22,21,22
21,22,19
22,19,19
19,19,13
19,13,16
13,16,16
16,16,17
16,17,22
17,22,17
22,17,17
17,17,16
17,16,13
16,13,12
13,12,12
12,12,16
12,16,14
16,14,12
14,12,12
12,12,13
12,13,12
13,12,12
12,12,11
12,11,11
11,11,10
11,10,9
10,9,10
9,10,11
10,11,13
11,13,15
13,15,18
15,18,17
18,17,12
17,12,11
12,11,10
11,10,10
10,10,10
10,10,10
10,10,11
10,11,10
11,10,10
10,10,9
10,9,10
9,10,11
10,11,11
11,11,11
11,11,12
11,12,12
12,12,18
12,18,17
18,17,14
17,14,11
14,11,10
11,10,9
10,9,8
9,8,8
8,8,9
8,9,10
9,10,15
10,15,19
15,19,17
19,17,16
17,16,14
16,14,12
14,12,11
12,11,10
11,10,9
10,9,9
9,9,9
9,9,11
9,11,11
11,11,10
11,10,9
10,9,9
9,9,9
9,9,11
9,11,11
11,11,11
11,11,9
11,9,9
9,9,8
9,8,9
8,9,8
9,8,10
8,10,11
10,11,9
11,9,8
9,8,7
8,7,9
7,9,11
9,11,14
11,14,15
14,15,15
15,15,14
15,14,12
14,12,12
12,12,11
12,11,13
11,13,13
13,13,13
13,13,13
13,13,13
13,13,13
13,13,12
13,12,12
12,12,12
12,12,12
12,12,13
12,13,14
13,14,14
14,14,16
14,16,15
16,15,14
15,14,13
14,13,14
13,14,15
14,15,14
15,14,14
14,14,12
14,12,14
12,14,14
14,14,15
14,15,14
15,14,14
14,14,13
14,13,13
13,13,14
13,14,12
14,12,13
12,13,14
13,14,14
14,14,13
14,13,12
13,12,12
12,12,13
12,13,15
13,15,16
15,16,13
16,13,12
13,12,13
12,13,12
13,12,14
12,14,13
14,13,12
13,12,14
12,14,10
14,10,11
10,11,13
11,13,15
13,15,16
15,16,15
16,15,16
15,16,16
16,16,15
16,15,15
15,15,16
15,16,18
16,18,18
18,18,20
18,20,21
20,21,19
21,19,17
19,17,23
17,23,24
23,24,22
24,22,26
22,26,21
26,21,18
21,18,20
18,20,18
20,18,18
18,18,17
18,17,15
17,15,18
15,18,18
18,18,18
18,18,18
18,18,17
18,17,19
17,19,22
19,22,22
22,22,22
22,22,20
22,20,18
20,18,22
18,22,21
22,21,22
21,22,21
22,21,20
21,20,19
20,19,21
19,21,22
21,22,20
22,20,22
20,22,20
22,20,23
20,23,25
23,25,24
25,24,25
24,25,26
25,26,21
26,21,24
21,24,21
24,21,21
21,21,25
21,25,23
25,23,22
23,22,24
22,24,23
24,23,24
23,24,24
24,24,21
24,21,22
21,22,23
22,23,23
23,23,25
23,25,25
25,25,24
25,24,25
24,25,24
25,24,24
24,24,25
24,25,23
25,23,24
23,24,25
24,25,24
25,24,24
24,24,24
24,24,24
24,24,23
24,23,24
23,24,24
24,24,24
24,24,24
24,24,21
24,21,22
21,22,21
22,21,21
21,21,19
21,19,22
19,22,24
22,24,23
24,23,24
23,24,24
24,24,23
24,23,23
23,23,23
23,23,23
23,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,23
22,23,22
23,22,23
22,23,23
23,23,23
23,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,23
22,23,23
23,23,23
23,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,19
22,19,20
19,20,20
20,20,20
20,20,22
20,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,20
22,20,22
20,22,22
22,22,21
22,21,21
21,21,21
21,21,22
21,22,23
22,23,23
23,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,22
22,22,21
22,21,21
21,21,19
21,19,21
19,21,21
21,21,21
21,21,22
21,22,21
22,21,22
21,22,21
22,21,21
21,21,23
21,23,22
23,22,20
22,20,20
20,20,23
20,23,22
23,22,21
22,21,22
21,22,23
22,23,22
23,22,21
22,21,23
21,23,21
23,21,22
21,22,22
22,22,22
22,22,18
22,18,18
18,18,17
18,17,22
17,22,21
22,21,21
21,21,18
21,18,15
18,15,16
15,16,19
16,19,19
19,19,18
19,18,16
18,16,15
16,15,13
15,13,13
13,13,13
13,13,16
13,16,15
16,15,14
15,14,13
14,13,14
13,14,14
14,14,12
14,12,11
12,11,12
11,12,13
12,13,14
13,14,13
14,13,13
13,13,15
13,15,20
15,20,20
20,20,20
20,20,17
20,17,15
17,15,14
15,14,14
14,14,13
14,13,12
13,12,12
12,12,12
12,12,12
12,12,13
12,13,14
13,14,17
14,17,15
17,15,17
15,17,16
17,16,15
16,15,13
15,13,10
13,10,10
10,10,12
10,12,12
12,12,15
12,15,13
15,13,8
13,8,11
8,11,9
11,9,9
9,9,11
9,11,12
11,12,14
12,14,15
14,15,16
15,16,14
16,14,10
14,10,7
10,7,6
7,6,6
6,6,7
6,7,12
7,12,12
12,12,13
12,13,11
13,11,10
11,10,11
10,11,12
11,12,14
12,14,16
14,16,16
16,16,16
16,16,16
16,16,18
16,18,14
18,14,14
14,14,12
14,12,12
12,12,11
12,11,11
11,11,12
11,12,11
12,11,10
11,10,10
10,10,12
10,12,11
12,11,12
11,12,12
12,12,10
12,10,11
10,11,12
11,12,12
12,12,10
12,10,9
10,9,10
9,10,11
10,11,13
11,13,13
13,13,14
13,14,17
14,17,12
17,12,11
12,11,14
11,14,13
14,13,12
13,12,11
12,11,13
11,13,15
13,15,15
15,15,16
15,16,14
16,14,14
14,14,13
14,13,13
13,13,15
13,15,16
15,16,17
16,17,16
17,16,14
16,14,14
14,14,15
14,15,15
15,15,15
15,15,16
15,16,18
16,18,18
18,18,18
18,18,18
18,18,18
18,18,17
18,17,18
17,18,19
18,19,17
19,17,17
17,17,18
17,18,22
18,22,20
22,20,17
20,17,19
17,19,18
19,18,16
18,16,15
16,15,14
15,14,12
14,12,15
12,15,17
15,17,17
17,17,18
17,18,18
18,18,18
18,18,16
18,16,19
16,19,17
19,17,19
17,19,19
19,19,19
19,19,22
19,22,22
22,22,21
22,21,20
21,20,19
20,19,18
19,18,18
18,18,19
18,19,20
19,20,19
20,19,20
19,20,22
20,22,24
22,24,21
24,21,21
21,21,22
21,22,19
22,19,20
19,20,17
20,17,18
17,18,17
18,17,17
17,17,18
17,18,21
18,21,23
21,23,25
23,25,20
25,20,21
20,21,23
21,23,24
23,24,24
24,24,23
24,23,23
23,23,24
23,24,26
24,26,25
26,25,23
25,23,24
23,24,23
24,23,25
23,25,25
25,25,25
25,25,24
25,24,22
24,22,23
22,23,24
23,24,25
24,25,26
25,26,25
26,25,24
25,24,26
24,26,26
26,26,26
26,26,25
26,25,25
25,25,23
25,23,24
23,24,24
24,24,25
24,25,21
25,21,24
21,24,24
24,24,24
24,24,25
24,25,25
25,25,25
25,25,25
25,25,25
25,25,24
25,24,23
24,23,23
23,23,23
23,23,23
23,23,23
23,23,22
23,22,22
22,22,21
22,21,23
21,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,20
22,20,23
20,23,22
23,22,22
22,22,22
22,22,23
22,23,22
23,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,23
23,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,23
22,23,22
23,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,21
21,21,22
21,22,21
22,21,21
21,21,21
21,21,21
21,21,21
21,21,20
21,20,21
20,21,21
21,21,21
21,21,20
21,20,21
20,21,21
21,21,20
21,20,19
20,19,18
19,18,18
18,18,18
18,18,18
18,18,18
18,18,18
18,18,20
18,20,21
20,21,20
21,20,20
20,20,21
20,21,22
21,22,20
22,20,22
20,22,19
22,19,22
19,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,20
22,20,20
20,20,22
20,22,21
22,21,22
21,22,20
22,20,19
20,19,19
19,19,22
19,22,21
22,21,21
21,21,21
21,21,20
21,20,21
20,21,20
21,20,19
20,19,18
19,18,20
18,20,22
20,22,21
22,21,20
21,20,20
20,20,20
20,20,19
20,19,17
19,17,18
17,18,19
18,19,16
19,16,17
16,17,14
17,14,14
14,14,16
14,16,19
16,19,20
19,20,21
20,21,21
21,21,18
21,18,16
18,16,17
16,17,17
17,17,15
17,15,14
15,14,13
14,13,14
13,14,14
14,14,12
14,12,12
12,12,16
12,16,18
16,18,21
18,21,18
21,18,18
18,18,15
18,15,13
15,13,15
13,15,14
15,14,12
14,12,11
12,11,12
11,12,12
12,12,13
12,13,14
13,14,17
14,17,15
17,15,17
15,17,16
17,16,15
16,15,13
15,13,10
13,10,10
10,10,12
10,12,12
12,12,15
12,15,13
15,13,8
13,8,11
8,11,9
11,9,9
9,9,11
9,11,12
11,12,14
12,14,15
14,15,16
15,16,14
16,14,10
14,10,7
10,7,6
7,6,6
6,6,7
6,7,8
7,8,9
8,9,9
9,9,10
9,10,9
10,9,9
9,9,8
9,8,9
8,9,10
9,10,11
10,11,10
11,10,11
10,11,12
11,12,12
12,12,12
12,12,12
12,12,12
12,12,12
12,12,12
12,12,11
12,11,13
11,13,12
13,12,9
12,9,8
9,8,15
8,15,11
15,11,9
11,9,8
9,8,10
8,10,12
10,12,13
12,13,14
13,14,14
14,14,13
14,13,15
13,15,11
15,11,10
11,10,5
10,5,6
5,6,11
6,11,15
11,15,17
15,17,15
17,15,15
15,15,10
15,10,11
10,11,12
11,12,13
