,0,1,2
0,25,29°,23°
1,26,29°,22°
2,27,30°,21°
3,28,30°,20°
4,29,28°,19°
5,30,29°,20°
6,1,25°,21°
7,2,25°,20°
8,3,26°,21°
9,4,26°,21°
10,5,28°,21°
11,6,27°,19°
12,7,30°,19°
13,8,31°,20°
14,9,32°,20°
15,10,32°,21°
16,11,32°,21°
17,12,32°,20°
18,13,31°,20°
19,14,31°,21°
20,15,31°,22°
21,16,32°,21°
22,17,30°,22°
23,18,32°,19°
24,19,32°,19°
25,20,32°,13°
26,21,32°,16°
27,22,32°,16°
28,23,32°,17°
29,24,30°,22°
30,25,31°,17°
31,26,31°,17°
32,27,31°,16°
33,28,31°,13°
34,29,30°,12°
35,30,31°,12°
36,31,32°,17°
37,1,32°,16°
38,2,31°,14°
39,3,31°,12°
40,4,31°,12°
41,5,30°,13°
