,0,1,2
0,27,32°,13°
1,28,32°,14°
2,29,31°,13°
3,30,30°,14°
4,31,29°,13°
5,1,30°,16°
6,2,30°,17°
7,3,30°,15°
8,4,29°,17°
9,5,28°,20°
10,6,31°,18°
11,7,30°,18°
12,8,27°,19°
13,9,29°,19°
14,10,31°,19°
15,11,31°,18°
16,12,31°,16°
17,13,31°,16°
18,14,30°,16°
19,15,33°,15°
20,16,31°,16°
21,17,32°,17°
22,18,33°,18°
23,19,32°,17°
24,20,33°,16°
25,21,32°,14°
26,22,32°,14°
27,23,34°,14°
28,24,33°,15°
29,25,33°,14°
30,26,32°,13°
31,27,32°,13°
32,28,32°,12°
33,29,31°,13°
34,30,30°,12°
35,31,30°,13°
36,1,30°,14°
37,2,30°,13°
38,3,30°,11°
39,4,31°,10°
40,5,31°,12°
41,6,30°,11°
