,0,1,2
0,27,30°,20°
1,28,32°,19°
2,29,31°,21°
3,30,31°,20°
4,31,28°,21°
5,1,28°,22°
6,2,30°,20°
7,3,31°,19°
8,4,32°,20°
9,5,31°,21°
10,6,32°,21°
11,7,30°,19°
12,8,30°,18°
13,9,31°,17°
14,10,32°,16°
15,11,31°,17°
16,12,31°,17°
17,13,29°,18°
18,14,29°,15°
19,15,29°,18°
20,16,31°,18°
21,17,30°,18°
22,18,30°,16°
23,19,31°,15°
24,20,31°,16°
25,21,30°,17°
26,22,30°,17°
27,23,30°,16°
28,24,30°,15°
29,25,30°,15°
30,26,30°,14°
31,27,29°,15°
32,28,31°,15°
33,29,32°,17°
34,30,31°,17°
