,0,1,2
0,31,30°,13°
1,1,30°,14°
2,2,30°,13°
3,3,30°,11°
4,4,31°,10°
5,5,31°,12°
6,6,30°,11°
7,7,29°,11°
8,8,29°,10°
9,9,32°,9°
10,10,33°,9°
11,11,32°,10°
12,12,33°,12°
13,13,32°,13°
14,14,32°,13°
15,15,33°,15°
16,16,32°,15°
17,17,32°,16°
18,18,31°,17°
19,19,28°,16°
20,20,29°,12°
21,21,29°,14°
22,22,31°,15°
23,23,34°,15°
24,24,35°,15°
25,25,35°,16°
26,26,35°,16°
27,27,36°,15°
28,28,36°,14°
29,1,36°,20°
30,2,37°,16°
31,3,36°,15°
32,4,36°,15°
33,5,36°,15°
34,6,37°,15°
