,0,1,2
0,25,27°,23°
1,26,28°,23°
2,27,28°,22°
3,28,28°,23°
4,29,28°,23°
5,30,28°,22°
6,1,29°,23°
7,2,29°,23°
8,3,30°,22°
9,4,28°,23°
10,5,29°,22°
11,6,28°,23°
12,7,30°,23°
13,8,31°,23°
14,9,30°,22°
15,10,31°,23°
16,11,29°,23°
17,12,30°,22°
18,13,29°,22°
19,14,27°,22°
20,15,27°,22°
21,16,26°,22°
22,17,25°,21°
23,18,26°,22°
24,19,28°,22°
25,20,27°,23°
26,21,28°,23°
27,22,28°,23°
28,23,26°,23°
29,24,28°,22°
30,25,28°,22°
31,26,27°,22°
32,27,32°,22°
33,28,27°,22°
34,29,28°,22°
35,30,28°,21°
36,31,27°,22°
37,1,28°,21°
38,2,28°,21°
39,3,26°,21°
40,4,29°,22°
41,5,29°,22°
