,0,1,2
0,26,38°,18°
1,27,38°,22°
2,28,38°,22°
3,29,40°,24°
4,30,39°,24°
5,1,38°,25°
6,2,39°,23°
7,3,39°,23°
8,4,39°,20°
9,5,40°,20°
10,6,40°,24°
11,7,40°,20°
12,8,40°,21°
13,9,41°,23°
14,10,41°,24°
15,11,40°,23°
16,12,39°,20°
17,13,40°,24°
18,14,40°,22°
19,15,35°,22°
20,16,37°,25°
21,17,39°,24°
22,18,36°,24°
23,19,36°,24°
24,20,37°,23°
25,21,38°,24°
26,22,38°,24°
27,23,40°,21°
28,24,40°,24°
29,25,40°,24°
30,26,38°,25°
31,27,38°,24°
32,28,37°,24°
33,29,38°,24°
34,30,38°,24°
35,31,38°,25°
36,1,29°,21°
37,2,30°,21°
38,3,24°,22°
39,4,27°,21°
40,5,32°,20°
41,6,32°,22°
