,0,1,2
0,26,32°,13°
1,27,30°,13°
2,28,31°,15°
3,29,29°,12°
4,30,25°,13°
5,31,26°,15°
6,1,29°,13°
7,2,29°,16°
8,3,30°,15°
9,4,29°,14°
10,5,31°,14°
11,6,30°,14°
12,7,31°,15°
13,8,30°,14°
14,9,28°,17°
15,10,29°,12°
16,11,27°,12°
17,12,26°,11°
18,13,25°,12°
19,14,27°,14°
20,15,27°,13°
21,16,27°,12°
22,17,27°,15°
23,18,31°,13°
24,19,32°,12°
25,20,32°,12°
26,21,32°,11°
27,22,28°,13°
28,23,24°,15°
29,24,25°,10°
30,25,26°,9°
31,26,27°,9°
32,27,27°,10°
33,28,28°,9°
34,29,29°,9°
35,30,32°,9°
36,31,33°,10°
37,1,33°,10°
38,2,34°,11°
39,3,31°,10°
40,4,29°,13°
41,5,31°,10°
