,0,1,2
0,25,30°,15°
1,26,31°,14°
2,27,31°,12°
3,28,30°,11°
4,29,30°,12°
5,30,30°,12°
6,1,28°,12°
7,2,30°,12°
8,3,30°,13°
9,4,30°,14°
10,5,31°,17°
11,6,32°,15°
12,7,32°,17°
13,8,32°,16°
14,9,33°,15°
15,10,30°,13°
16,11,30°,10°
17,12,30°,10°
18,13,30°,12°
19,14,27°,12°
20,15,28°,15°
21,16,27°,13°
22,17,27°,8°
23,18,27°,11°
24,19,27°,9°
25,20,28°,9°
26,21,30°,11°
27,22,31°,12°
28,23,31°,14°
29,24,32°,15°
30,25,32°,16°
31,26,31°,14°
32,27,28°,10°
33,28,25°,7°
34,29,27°,6°
35,30,27°,6°
36,31,28°,7°
37,1,30°,8°
38,2,32°,8°
39,3,32°,8°
40,4,32°,9°
41,5,32°,9°
