,0,1,2
0,28,36°,18°
1,29,35°,21°
2,1,33°,19°
3,2,34°,17°
4,3,33°,18°
5,4,31°,17°
6,5,33°,18°
7,6,33°,16°
8,7,35°,15°
9,8,35°,16°
10,9,36°,16°
11,10,36°,17°
12,11,38°,17°
13,12,36°,18°
14,13,33°,18°
15,14,33°,13°
16,15,35°,15°
17,16,35°,17°
18,17,37°,17°
19,18,38°,18°
20,19,38°,18°
21,20,37°,18°
22,21,37°,17°
23,22,37°,14°
24,23,38°,16°
25,24,35°,17°
26,25,39°,21°
27,26,39°,22°
28,27,39°,21°
29,28,38°,19°
30,29,38°,18°
31,30,38°,17°
32,31,38°,17°
33,1,39°,17°
34,2,40°,19°
